trial,time,objects retrieved,size,type,potential time
0,600.76,3,5,ga,30
1,1201.56,0,5,ga,30
2,1802.3600000000001,2,5,ga,30
3,2403.16,0,5,ga,30
4,3003.96,1,5,ga,30
5,3604.76,2,5,ga,30
6,4205.52,0,5,ga,30
7,4806.32,2,5,ga,30
8,5407.12,3,5,ga,30
9,6007.92,1,5,ga,30
10,6608.72,0,5,ga,30
11,7209.52,1,5,ga,30
12,7810.32,1,5,ga,30
13,8411.12,1,5,ga,30
14,9011.92,2,5,ga,30
15,9612.72,2,5,ga,30
16,10213.52,1,5,ga,30
17,10814.32,0,5,ga,30
18,11415.12,0,5,ga,30
19,12015.92,0,5,ga,30
20,12616.720000000001,0,5,ga,30
