agent id,time step, time since last block,size,collisions,type
2,0.48,0,5,0,crw
3,0.48,0,5,0,crw
1,0.48,0,5,0,crw
0,0.48,0,5,0,crw
4,0.48,0,5,0,crw
0,0.93,0,5,0,crw
2,0.93,0,5,0,crw
3,0.93,0,5,0,crw
1,0.93,0,5,0,crw
4,0.93,0,5,0,crw
0,1.21,0,5,0,crw
2,1.21,0,5,0,crw
1,1.21,0,5,0,crw
3,1.21,0,5,0,crw
4,1.21,0,5,0,crw
0,1.49,0,5,0,crw
1,1.49,0,5,0,crw
2,1.49,0,5,0,crw
3,1.49,0,5,0,crw
4,1.49,0,5,0,crw
2,1.77,0,5,0,crw
0,1.77,0,5,0,crw
1,1.77,0,5,0,crw
3,1.77,0,5,0,crw
4,1.77,0,5,0,crw
0,2.05,1,5,0,crw
1,2.05,1,5,0,crw
2,2.05,1,5,0,crw
4,2.05,1,5,0,crw
3,2.05,1,5,0,crw
0,2.33,1,5,0,crw
1,2.33,1,5,0,crw
2,2.33,1,5,0,crw
3,2.33,1,5,0,crw
4,2.33,1,5,0,crw
0,2.61,1,5,0,crw
2,2.61,1,5,0,crw
3,2.61,1,5,0,crw
1,2.61,1,5,0,crw
4,2.61,1,5,0,crw
1,2.89,2,5,0,crw
2,2.89,2,5,0,crw
0,2.89,2,5,0,crw
3,2.89,2,5,0,crw
4,2.89,1,5,0,crw
0,3.17,2,5,0,crw
1,3.17,2,5,0,crw
2,3.17,2,5,0,crw
3,3.17,2,5,0,crw
4,3.17,2,5,0,crw
