[-0.09999999999999999, -0.91, 0.02]
[-0.15, -0.86, 0.02]
[0.38, -0.73, 0.02]
[0.33, -0.6799999999999999, 0.02]
[0.28, -0.73, 0.02]
[0.33, -0.78, 0.02]
[0.49, 0.64, 0.02]
[-0.5499999999999999, -0.53, 0.02]
[-0.63, 0.7, 0.02]
[-0.84, 0.04, 0.02]
[-0.89, 0.09, 0.02]
[-0.58, -0.88, 0.02]
[0.44, 0.47, 0.02]
[-0.85, 0.43, 0.02]
[-0.08, 0.4, 0.02]
[-0.13, 0.45, 0.02]
[-0.18, 0.4, 0.02]
[-0.13, 0.35000000000000003, 0.02]
[0.75, 0.55, 0.02]
[0.7, 0.6000000000000001, 0.02]
[0.6499999999999999, 0.55, 0.02]
[0.7, 0.5, 0.02]
[0.16, -0.51, 0.02]
[0.09, 0.75, 0.02]
[0.04, 0.8, 0.02]
[-0.010000000000000002, 0.75, 0.02]
[-0.35000000000000003, -0.56, 0.02]
[-0.37, 0.3, 0.02]
[-0.34, 0.55, 0.02]
[0.13, 0.49, 0.02]
[0.54, 0.08, 0.02]
[0.45, 0.13, 0.02]
[0.4, 0.18, 0.02]
[0.35000000000000003, 0.13, 0.02]
[0.4, 0.08, 0.02]
[-0.42, 0.72, 0.02]
[-0.47, 0.77, 0.02]
[0.48, 0.32, 0.02]
[0.6100000000000001, 0.56, 0.02]
[0.56, 0.6100000000000001, 0.02]
[-0.21000000000000002, -0.39, 0.02]
[-0.26, -0.34, 0.02]
[-0.31, -0.39, 0.02]
[-0.26, -0.44, 0.02]
